period,sales.kg,year,month,day,week,quincena,price,wd,wpd,Variants,TRPs,adstocks,trend1,trend2,y2002
188,1382.497,2005,8,14,33,0,23.9862887721965,5269.92733492469,806.387962674636,76,1399.62,11419.0327119934,188,5.24174701505964,76
189,1591.254,2005,8,21,34,1,23.9688101508072,5198.29549674913,987.962612083933,75,1104.08,11381.2094407941,189,5.24702407216049,75
190,1291.376,2005,8,28,35,0,23.7678068230592,5131.26137402556,865.059000075844,75,1153.94,11397.0284967147,190,5.25227342804663,75
191,1646.296,2005,9,4,36,1,23.4034943550958,5120.19824924641,1031.62810028295,76,947.8,11205.1256470432,191,5.25749537202778,76
192,1286.175,2005,9,11,37,0,23.5456449515389,5070.54683542672,862.572768685312,73,1288.19,11372.8030823389,192,5.26269018890489,73
193,1353.075,2005,9,18,38,1,23.9309561954971,5090.74863823312,842.408201498976,73,972.29,11207.812774105,193,5.26785815906333,73
194,1234.836,2005,9,25,39,0,23.8570991274005,5112.1435102159,860.054563602195,73,1291.84,11378.8714966945,194,5.27299955856375,73
195,1463.056,2005,10,2,40,1,23.78350349019,5134.86182343074,888.757024874193,74,1336.98,11577.964347025,195,5.27811465923052,74
196,1383.212,2005,10,9,41,0,23.5801102770691,5129.97900340205,927.781724438942,73,1531.06,11951.2279123225,196,5.28320372873799,73
197,1396.041,2005,10,16,42,1,23.7915428463739,5135.89407335174,982.952404890056,71,1198.9,11955.0051210903,197,5.28826703069454,71
198,1255.695,2005,10,23,43,0,23.7768991300402,5132.06932836221,740.745482308817,70,1307.33,12066.8346089813,198,5.29330482472449,70
199,1221.145,2005,10,30,44,1,23.706185395646,5131.81825990896,786.972350540271,73,1368.52,12228.6711480831,199,5.29831736654804,73
200,1308.421,2005,11,6,45,0,23.6990968261546,5126.25268219684,742.82396842704,73,1535.12,12540.9240332748,200,5.30330490805908,73
201,1170.288,2005,11,13,46,0,23.7175992722616,5121.8124568055,784.049353090674,72,1329.47,12616.3016299473,201,5.30826769740121,72
